,query,value
0,when did snapchat facial recognition start,216500
1,pimeyes,400
2,snapchat facial recognition,140
3,snapchat lawsuit,140
4,facial recognition disorder,130
5,tineye,100
6,reverse image search,90
7,facial recognition test,60
8,facial recognition online,60
9,facial recognition search,60
10,free facial recognition search,40
